"code","term","definition","non-imdrf code/term","status","status description","codehierarchy","non-imdrf code","primary category","secondary category"
"E081903","Retinal Detachment","Separation of the inner retina layers from the underlying pigment epithelium.",,"","","E20|E0819|E081903","MedDRA:10038848:Retinal detachment","",""
"E081904","Retinal Injury","Damage to the retina due to toxicity, exposure to bright lights, or trauma.",,"","","E20|E0819|E081904","MedDRA:10057430:Retinal injury","Eye","Injury"
"E081905","Retinal Tear","A usually small tearing of the retina occurring when the vitreous separates from the retina. It may lead to retinal detachment.",,"","","E20|E0819|E081905","MedDRA:10038897:Retinal tear","",""
"E081906","Vitreous Detachment","Detachment of the vitreous humor from the retina.",,"","","E20|E0819|E081906","MedDRA:10047650:Vitreous detachment","Eye","Procedural Complications"
"E1023","Peritoneal Laceration(s)","A cut or tear of the peritoneum.",,"","","E20|E1023","MedDRA:10068140:Peritoneal laceration","Gastrointestinal System","Injury"
"E1603","Bone Fracture(s)","A traumatic or pathological injury to the bone in which the continuity of the bone is broken.",,"","","E20|E1603","MedDRA:10017076:Fracture","Musculoskeletal System","Injury"
"E160301","Hip Fracture","Traumatic or pathological injury to the hip in which the continuity of either the femoral head, femoral neck, intertrochanteric or subtrochanteric regions is broken.",,"","","E20|E1603|E160301","MedDRA:10020100:Hip fracture","Musculoskeletal System","Injury"
"E160302","Limb Fracture","A traumatic break in one or more of the bones in a limb.",,"","","E20|E1603|E160302","MedDRA:10074551:Limb fracture","Musculoskeletal System","Injury"
"E160303","Multiple Fractures","Two or more simultaneous traumatic breaks in one or more bones.",,"","","E20|E1603|E160303","MedDRA:10028200:Multiple fractures","Musculoskeletal System","Injury"
"E160304","Skull Fracture","A traumatic or pathologic injury to the bones of the skull in which the continuity of the bones of the skull is broken.",,"","","E20|E1603|E160304","MedDRA:10061365:Skull fracture","Musculoskeletal System","Injury"
"E160305","Vertebral Fracture","Traumatic or pathological injury to the spine in which the continuity of a vertebral bone is broken.",,"","","E20|E1603|E160305","MedDRA:10047333:Vertebral fracture","Musculoskeletal System","Injury"
"E1606","Damage to Ligament(s)","An injury to any of the fibrous bands of tissue that comprise an articulation (joint).",,"","","E20|E1606","MedDRA:10061223:Ligament injury","Musculoskeletal System","Injury"
"E1610","Head Injury","A traumatic injury to the head.",,"","","E20|E1610","MedDRA:10019196:Head injury","Musculoskeletal System","Injury"
"E1614","Joint Dislocation","An abnormal separation where two or more bones meet.",,"","","E20|E1614","MedDRA:10023204:Joint dislocation","Musculoskeletal System","Injury"
"E161401","Subluxation","Partial dislocation of the bones in a joint.",,"","","E20|E1614|E161401","MedDRA:10042402:Subluxation","Musculoskeletal System","Injury"
"E1631","Spinal Column Injury","Damage to the bones of the spine.",,"","","E20|E1631","MedDRA:10069689:Spinal column injury","Musculoskeletal System","Injury"
"E1633","Tooth Fracture","Breakage of any portion of the tooth.",,"","","E20|E1633","MedDRA:10062544:Tooth fracture","Musculoskeletal System","Injury"
"E1701","Abrasion","Superficial damage to the skin caused by rubbing or scraping.",,"","","E20|E1701","MedDRA:10080919:Abrasion","Skin and Subcutaneous Tissue","Injury"
"E1704","Burn(s)","An injury or tissue damage caused by exposure to caustic chemicals, extreme heat, extreme cold or excessive radiation.",,"","","E20|E1704","MedDRA:10006634:Burn","Skin and Subcutaneous Tissue","Injury"
"E1005","Bowel Burn","A thermal injury to the bowels.",,"","","E20|E1704|E1005","MedDRA:10082501:Intestinal burn","Gastrointestinal System","Injury"
"E1013","Gastroesophageal Burn","Thermal, chemical or radiation injury to stomach or esophagus.",,"","","E20|E1704|E1013","MedDRA:10082500:Gastroesophageal burn","Gastrointestinal System","Injury"
"E170401","Caustic/Chemical Burns","A burn caused by exposure to chemical substances.",,"","","E20|E1704|E170401","MedDRA:10008420:Chemical burn","Skin and Subcutaneous Tissue","Injury"
"E170402","Cryogenic Burn","Local tissue damage due to exposure to extreme cold.",,"","","E20|E1704|E170402","MedDRA:10081985:Cold burn","Skin and Subcutaneous Tissue","Injury"
"E170403","Radiation Burn","A burn caused by exposure to x-ray, radium, sunlight, ionizing radiation or any other type of radiant energy.",,"","","E20|E1704|E170403","MedDRA:10063640:Radiation burn","Skin and Subcutaneous Tissue","Injury"
"E170404","Superficial (First Degree) Burn","A burn that affects the epidermis only, causing erythema without blistering.",,"","","E20|E1704|E170404","MedDRA:10016700:First degree burns","Skin and Subcutaneous Tissue","Injury"
"E170405","Partial thickness (Second Degree) Burn","A burn that affects the epidermis and the dermis.",,"","","E20|E1704|E170405","MedDRA:10039798:Second degree burns","Skin and Subcutaneous Tissue","Injury"
"E170406","Full thickness (Third Degree) Burn","A burn to the skin that extends into deeper layers and underlying tissues.",,"","","E20|E1704|E170406","MedDRA:10043441:Third degree burns","Skin and Subcutaneous Tissue","Injury"
"E2001","Bone Shedding Debris","Shedding of accumulated bone fragments.",,"","","E20|E2001","MedDRA:10006011:Bone shedding debris","",""
"E2002","Bruise/Contusion","Injury of the soft tissues without breaking the skin that is characterized by blood leakage into the surrounding area.",,"","","E20|E2002","MedDRA:10006502:Bruise","",""
"E0615","Myocardial Contusion","A bruise to the heart.",,"","","E20|E2002|E0615","MedDRA:10068147:Myocardial contusion","Heart","Procedural Complications"
"E2003","Chemical Exposure","Contact with a chemical substance through touch, inhalation, or ingestion.",,"","","E20|E2003","MedDRA:10068154:Chemical exposure","",""
"E2004","Crushing Injury","Traumatic compression of the body or a part of the body.",,"","","E20|E2004","MedDRA:10061097:Crush injury","",""
"E2005","Easy Bruising","Appearance of bruises spontaneously or following minimal contact.",,"","","E20|E2005","MedDRA:10076258:Tendency to bruise easily","Injury","Skin and Subcutaneous Tissue"
"E2006","Erosion","An eating away or breakdown of any type of external or internal human tissue including but not limited to skin, teeth, mucosa, or somatic, which involves only the outer tissue layer. When tissue surrounds an implanted device, the tissue breakdown may result in migration and loss of the implant material and may result in further complications such as infection or abscess.",,"","","E20|E2006","MedDRA:10068527:Tissue erosion associated with device","",""
"E1713","Pocket Erosion","Erosion of patient's tissue pocket which houses a device.",,"","","E20|E2006|E1713","MedDRA:10035771:Pocket erosion","Skin and Subcutaneous Tissue","Injury"
"E1718","Skin Erosion","A gradual breakdown or very shallow ulceration of the skin which involves only the epidermis and heals without scarring.",,"","","E20|E2006|E1718","MedDRA:10040840:Skin erosion","Skin and Subcutaneous Tissue","Injury"
"E2007","Fall","A sudden movement downward, usually resulting in injury.",,"","","E20|E2007","MedDRA:10016173:Fall","",""
"E2008","Foreign Body In Patient","An occurrence where any object including device or fragments is left unintentionally in the body.",,"","","E20|E2008","MedDRA:10070245:Foreign body","Injury","Procedural Complications"
"E200801","Device Embedded In Tissue or Plaque","Device and/or fragments of device are embedded in patient's tissue and/or plaque.",,"","","E20|E2008|E200801","MedDRA:10074498:Embedded device","Injury","Procedural Complications"
"E2009","Laceration(s)","A cut or tear in any tissue.",,"","","E20|E2009","MedDRA:10023572:Laceration","",""
"E2010","Needle Stick/Puncture","A penetrating stab wound from a needle (or other sharp object) that may result in exposure to blood or other body fluids.",,"","","E20|E2010","MedDRA:10028895:Needle stick/puncture","",""
"E2011","Physical Entrapment","Patient becomes entangled or trapped in a device.",,"","","E20|E2011","MedDRA:10082491:Patient entrapped in device","",""
"E2012","Post Traumatic Wound Infection","Infection of a wound following trauma. This does not include post surgical wound infection.",,"","","E20|E2012","MedDRA:10036317:Post-traumatic wound infection","Injury","Infections"
"E2013","Rupture","Forcible tearing or disruption of tissue.",,"","","E20|E2013","MedDRA:10080972:Tissue rupture","",""
"E2014","Tissue Breakdown","A process caused by injury or disease or aging and characterized by a partial/complete disruption of tissue. The disruption may be temporary or permanent and may be associated with either (1) impairment or (2) loss of function of the affected organ(s) or system(s).",,"","","E20|E2014","MedDRA:10068521:Tissue breakdown associated with device","",""
"E201401","Pressure Sores","Death of tissue due to external pressure.",,"","","E20|E2014|E201401","MedDRA:10036651:Pressure sore","",""
"E2015","Unspecified Tissue Injury","The report describes a non-specific injury to the skin or subcutaneous tissue. Note: Please use ""Appropriate Term / Code Not Available"" if the report describes a specific injury but the relevant term does not exist.",,"Modified (editorial)","Editorial change to the definition on 18 March 2020 for consistency with other ""Unspecified ____"" definitions.","E20|E2015","MedDRA:10080903:Tissue injury","",""
"E2104","Electric Shock","A shock caused by a brief, unintentional exposure to an electric current from a device.",,"","","E20|E2104","MedDRA:10014357:Electric shock","Procedural Complications","Injury"
"E210401","Shock from Patient Lead(s)","Unintended electric shock from patient leads. This includes an electric shock to a healthcare professional or a patient receiving a shock to an incorrect area of their body.",,"","","E20|E2104|E210401","MedDRA:10075322:Device inappropriate shock delivery","Procedural Complications","Injury"
"E2105","Exposure to Body Fluids","Exposed to or contacted with blood or body fluids of another person.",,"","","E20|E2105","MedDRA:10068528:Exposure to device contaminated with body fluid","Procedural Complications","Injury"
"E2116","Radiation Sickness Syndrome","The complex of symptoms characterizing the disease known as radiation injury, resulting from excessive exposure of the whole body (or large part) to ionizing radiation.",,"","","E20|E2116","MedDRA:10068142:Radiation sickness syndrome","Procedural Complications","Injury"
"E21","Procedural Complications","Procedural Complications",,"Not selectable","Please use more detailed term within the hierarchy","E21","","",""
"E081906","Vitreous Detachment","Detachment of the vitreous humor from the retina.",,"","","E21|E081906","MedDRA:10047650:Vitreous detachment","Eye","Procedural Complications"
"E1026","Rectal Anastomotic Leakage","Leakage due to breakdown of a rectal anastomosis.",,"","","E21|E1026","MedDRA:10065894:Rectal anastomotic leak","Gastrointestinal System","Procedural Complications"
"E2008","Foreign Body In Patient","An occurrence where any object including device or fragments is left unintentionally in the body.",,"","","E21|E2008","MedDRA:10070245:Foreign body","Injury","Procedural Complications"
"E200801","Device Embedded In Tissue or Plaque","Device and/or fragments of device are embedded in patient's tissue and/or plaque.",,"","","E21|E2008|E200801","MedDRA:10074498:Embedded device","Injury","Procedural Complications"
"E2101","Adhesion(s)","A fibrous band of tissue that connects normally separate body regions.",,"","","E21|E2101","MedDRA:10059837:Adhesion","Procedural Complications","Generalized Disorders"
"E2102","Awareness during Anaesthesia","A state of consciousness that permits the formation of explicit and implicit memories while under general anesthesia.",,"","","E21|E2102","MedDRA:10054330:Awareness during anesthesia","",""
"E2103","Device Overstimulation of Tissue","A level of stimulation that is greater than the intended level.",,"","","E21|E2103","MedDRA:10068528:Device overstimulation of tissue","",""
"E2104","Electric Shock","A shock caused by a brief, unintentional exposure to an electric current from a device.",,"","","E21|E2104","MedDRA:10014357:Electric shock","Procedural Complications","Injury"
"E210401","Shock from Patient Lead(s)","Unintended electric shock from patient leads. This includes an electric shock to a healthcare professional or a patient receiving a shock to an incorrect area of their body.",,"","","E21|E2104|E210401","MedDRA:10075322:Device inappropriate shock delivery","Procedural Complications","Injury"
"E2105","Exposure to Body Fluids","Exposed to or contacted with blood or body fluids of another person.",,"","","E21|E2105","MedDRA:10068528:Exposure to device contaminated with body fluid","Procedural Complications","Injury"
